word,pronunciation,partOfSpeech,definition,definitionNative,example,exampleTranslation,topic,difficulty,synonyms
"Expense","ɪkˈspens","noun","The cost required for something; the money spent on something.","Chi phí, khoản chi tiêu","The company reimburses employees for any travel expenses incurred.","Công ty hoàn trả cho nhân viên bất kỳ chi phí đi lại nào phát sinh.","finance","500","cost,expenditure,outlay"
"Profit","ˈprɒfɪt","noun","A financial gain, especially the difference between the amount earned and the amount spent in buying, operating, or producing something.","Lợi nhuận, tiền lãi","The retail chain reported a record profit for the third consecutive quarter.","Chuỗi bán lẻ đã báo cáo lợi nhuận kỷ lục trong quý thứ ba liên tiếp.","finance","600","gain,earnings,yield"
"Revenue","ˈrevənjuː","noun","Income, especially when of a company or organization and of a substantial nature.","Doanh thu","The expansion of online sales boosted the firm's quarterly revenue.","Việc mở rộng bán hàng trực tuyến đã thúc đẩy doanh thu hàng quý của công ty.","finance","600","income,turnover,proceeds"
"Evaluate","ɪˈvæljueɪt","verb","Form an idea of the amount, number, or value of; assess.","Đánh giá, định giá","Financial analysts were hired to evaluate the investment project.","Các nhà phân tích tài chính đã được thuê để đánh giá dự án đầu tư.","finance","700","assess,appraise,estimate"
"Calculate","ˈkælkjuleɪt","verb","Determine the amount or number of something mathematically.","Tính toán","We need to calculate the interest rates before signing the loan contract.","Chúng ta cần tính toán lãi suất trước khi ký hợp đồng vay.","finance","700","compute,reckon,work out"
"Deficit","ˈdefɪsɪt","noun","The amount by which something, especially a sum of money, is too small.","Sự thâm hụt, thâm hụt tài chính","The government is taking measures to reduce the current account deficit.","Chính phủ đang thực hiện các biện pháp để giảm thâm hụt tài khoản vãng lai.","finance","800","shortfall,shortage,loss"
"Asset","ˈæset","noun","A useful or valuable quality, person, or thing; property owned by a person or company.","Tài sản","Intellectual property is a key asset of this technology firm.","Sở hữu trí tuệ là một tài sản chính của công ty công nghệ này.","finance","800","property,resource,holding"
"Liability","ˌlaɪəˈbɪləti","noun","The state of being responsible for something, especially by law, or financial debts.","Nghĩa vụ pháp lý, khoản nợ phải trả","The company balance sheet lists both assets and liabilities.","Bảng cân đối kế toán của công ty liệt kê cả tài sản và nợ phải trả.","finance","900","debt,obligation,responsibility"
"Depreciation","dɪˌpriːʃiˈeɪʃn","noun","A reduction in the value of an asset over time, especially due to wear and tear.","Sự khấu hao, giảm giá trị tài sản","Computers show rapid depreciation, losing half their value within a year.","Máy tính có tốc độ khấu hao nhanh, mất nửa giá trị trong vòng một năm.","finance","900","devaluation,wear and tear,drop in value"
"Brand","brænd","noun","A type of product manufactured by a particular company under a particular name.","Thương hiệu, nhãn hiệu","Consumers recognize this brand for its durability and good service.","Người tiêu dùng nhận ra thương hiệu này vì độ bền và dịch vụ tốt.","marketing","500","make,label,trademark"
"Target","ˈtɑːɡɪt","noun","A person, object, or place selected as the aim or focus of attention.","Mục tiêu, đối tượng hướng tới","Young professionals are our primary target for the new fitness app.","Các chuyên gia trẻ tuổi là mục tiêu chính của chúng tôi cho ứng dụng thể dục mới.","marketing","500","goal,objective,aim"
"Campaign","kæmˈpeɪn","noun","An organized course of action to achieve a particular goal, especially advertising.","Chiến dịch, chiến dịch quảng cáo","The email marketing campaign generated hundreds of new sales leads.","Chiến dịch tiếp thị qua email đã tạo ra hàng trăm khách hàng tiềm năng mới.","marketing","600","drive,crusade,effort"
"Feedback","ˈfiːdbæk","noun","Information about reactions to a product or service, used as a basis for improvement.","Phản hồi, ý kiến nhận xét","We analyzed the customer feedback to optimize our service features.","Chúng tôi đã phân tích phản hồi của khách hàng để tối ưu hóa các tính năng dịch vụ.","marketing","600","response,comments,reviews"
"Strategic","strəˈtiːdʒɪk","adjective","Relating to the identification of long-term or overall aims and the means of achieving them.","Mang tính chiến lược","The company made a strategic decision to expand into European markets.","Công ty đã đưa ra quyết định chiến lược để mở rộng sang thị trường châu Âu.","marketing","700","tactical,planned,calculated"
"Innovative","ˈɪnəveɪtɪv","adjective","Introducing new ideas or methods; original and creative.","Sáng tạo, đổi mới","Our agency created an innovative promotional video that went viral.","Đại lý của chúng tôi đã tạo ra một video quảng cáo sáng tạo được lan truyền rộng rãi.","marketing","700","creative,original,novel"
"Advertise","ˈædvətaɪz","verb","Describe or draw attention to a product or service in order to promote sales.","Quảng cáo","It is highly effective to advertise products on social media platforms.","Quảng cáo sản phẩm trên các nền tảng mạng xã hội mang lại hiệu quả rất cao.","marketing","800","promote,publicize,broadcast"
"Consumer","kənˈsjuːmə(r)","noun","A person who purchases goods and services for personal use.","Người tiêu dùng","Consumer behavior has changed significantly with the rise of online shops.","Hành vi của người tiêu dùng đã thay đổi đáng kể với sự phát triển của các cửa hàng trực tuyến.","marketing","800","buyer,customer,purchaser"
"Saturation","ˌsætʃəˈreɪʃn","noun","The state that occurs when no more of something can be absorbed, combined with, or accepted.","Sự bão hòa (thị trường)","Market saturation has made it difficult for new smartphone brands to emerge.","Sự bão hòa thị trường đã khiến các thương hiệu điện thoại thông minh mới khó xuất hiện.","marketing","900","overflow,surplus,glut"
"Demographics","ˌdeməˈɡræfɪks","noun","Statistical data relating to the population and particular groups within it.","Số liệu nhân khẩu học","The marketing report details the demographics of our primary online buyers.","Báo cáo tiếp thị chi tiết số liệu nhân khẩu học của những người mua hàng trực tuyến chính của chúng tôi.","marketing","900","population statistics,user profile"
"Ticket","ˈtɪkɪt","noun","A piece of paper or voucher that shows that one has paid for a journey or entry.","Vé (máy bay, tàu, xe)","Remember to print your boarding ticket before going to the train station.","Hãy nhớ in vé lên tàu trước khi đến ga tàu.","travel","500","pass,voucher,coupon"
"Flight","flaɪt","noun","An act of passing through the air by a plane, or a scheduled journey.","Chuyến bay","Her flight to Chicago was delayed by three hours due to heavy rain.","Chuyến bay của cô ấy đến Chicago đã bị hoãn ba tiếng do mưa lớn.","travel","500","air journey,trip,voyage"
"Luggage","ˈlʌɡɪdʒ","noun","Suitcases and bags containing personal belongings for a journey.","Hành lý","Passengers are requested to keep their luggage with them at all times.","Hành khách được yêu cầu luôn mang theo hành lý bên mình.","travel","600","baggage,suitcases,gear"
"Itinerary","aɪˈtɪnərəri","noun","A planned route or journey details, including dates and times.","Lịch trình chuyến đi","The travel agent sent us the detailed travel itinerary for our tour.","Đại lý du lịch đã gửi cho chúng tôi lịch trình chi tiết cho chuyến tham quan của chúng tôi.","travel","600","schedule,route,plan"
"Destination","ˌdestɪˈneɪʃn","noun","The place to which someone or something is going or being sent.","Điểm đến, nơi đến","Paris remains the most popular travel destination in Europe.","Paris vẫn là điểm đến du lịch phổ biến nhất ở châu Âu.","travel","700","goal,terminus,stop"
"Reservation","ˌrezəˈveɪʃn","noun","An arrangement to secure something, especially a room or seat, in advance.","Sự đặt trước, đặt chỗ","I made a dinner reservation for four people at the Italian restaurant.","Tôi đã đặt bàn ăn tối cho bốn người tại nhà hàng Ý.","travel","700","booking,appointment,booking slot"
"Transit","ˈtrænzɪt","noun","The carrying of people or things from one place to another, or passing through a place.","Sự quá cảnh, đi qua","We had a five-hour transit at the Tokyo airport before flying to London.","Chúng tôi đã quá cảnh năm tiếng tại sân bay Tokyo trước khi bay đi London.","travel","800","passage,journey,movement"
"Accommodate","əˈkɒmədeɪt","verb","Provide lodging or sufficient space for someone.","Cung cấp chỗ ăn ở, chứa được","The hotel is large enough to accommodate up to five hundred guests.","Khách sạn đủ lớn để cung cấp chỗ ở cho tối đa năm trăm khách.","travel","800","lodge,house,quarter"
"Expedition","ˌekspəˈdɪʃn","noun","A journey undertaken by a group of people with a particular purpose, especially exploration or research.","Cuộc thám hiểm, chuyến đi thám hiểm","The scientific expedition discovered several unknown species in the rainforest.","Cuộc thám hiểm khoa học đã phát hiện ra một số loài chưa từng biết trong rừng nhiệt đới.","travel","900","journey,voyage,exploration"
"Disembarkation","ˌdɪsˌembɑːˈkeɪʃn","noun","The process of leaving a ship or aircraft after a journey.","Sự xuống tàu, xuống máy bay","Passengers must show their passports immediately upon disembarkation.","Khách hàng phải xuất trình hộ chiếu ngay sau khi xuống máy bay.","travel","900","landing,debarkation,departure"
"System","ˈsɪstəm","noun","A set of things working together as parts of a mechanism or an interconnecting network.","Hệ thống","The computer system crashed due to a power outage.","Hệ thống máy tính đã bị hỏng do mất điện.","technology","500","network,mechanism,structure"
"Software","ˈsɒftweə(r)","noun","The programs and other operating information used by a computer.","Phần mềm","We need to install the latest antivirus software on all office devices.","Chúng tôi cần cài đặt phần mềm diệt vi-rút mới nhất trên tất cả các thiết bị văn phòng.","technology","500","program,applications,code"
"Program","ˈprəʊɡræm","noun","A series of coded software instructions to control the operation of a computer.","Chương trình","This program helps office workers manage their tasks more efficiently.","Chương trình này giúp nhân viên văn phòng quản lý công việc của họ hiệu quả hơn.","technology","600","application,software,system"
"Network","ˈnetwɜːk","noun","A group of two or more computer systems linked together.","Mạng lưới, mạng máy tính","The company security team monitors our internal network for any threats.","Đội ngũ bảo mật công ty giám sát mạng lưới nội bộ của chúng tôi để phát hiện bất kỳ mối đe dọa nào.","technology","600","system,connection,web"
"Secure","sɪˈkjʊə(r)","adjective","Protected against attack or other criminal activity; safe.","Bảo mật, an toàn","Please make sure you are using a secure server connection for transactions.","Vui lòng đảm bảo bạn đang sử dụng kết nối máy chủ bảo mật để giao dịch.","technology","700","safe,protected,guarded"
"Database","ˈdeɪtəbeɪs","noun","A structured set of data held in a computer, especially one that is accessible in various ways.","Cơ sở dữ liệu","All customer profile records are stored in a secure SQL database.","Tất cả các hồ sơ thông tin khách hàng đều được lưu trữ trong một cơ sở dữ liệu SQL bảo mật.","technology","700","data storage,data bank,archive"
"Implement","ˈɪmplɪment","verb","Put a plan or system into effect.","Thực hiện, triển khai áp dụng","The IT department decided to implement a two-factor authentication system.","Bộ phận CNTT đã quyết định triển khai hệ thống xác thực hai yếu tố.","technology","800","execute,apply,enforce"
"Optimize","ˈɒptɪmaɪz","verb","Make the best or most effective use of a situation or resource; speed up program execution.","Tối ưu hóa","Developers worked hard to optimize the website code for mobile users.","Các lập trình viên đã làm việc chăm chỉ để tối ưu hóa mã nguồn trang web cho người dùng di động.","technology","800","streamline,improve,perfect"
"Encryption","ɪnˈkrɪpʃn","noun","The process of converting information or data into a code, especially to prevent unauthorized access.","Sự mã hóa bảo mật","Advanced encryption standards prevent external users from reading our emails.","Tiêu chuẩn mã hóa nâng cao ngăn chặn người dùng bên ngoài đọc email của chúng tôi.","technology","900","coding,cipher,security lock"
"Compatibility","kəmˌpætəˈbɪləti","noun","A state in which two things are able to exist or occur together without problems or conflict.","Tính tương thích","The software developer tested the application compatibility with older operating systems.","Lập trình viên phần mềm đã kiểm tra tính tương thích của ứng dụng với các hệ điều hành cũ hơn.","technology","900","harmony,accord,suitability"
"Deliver","dɪˈlɪvə(r)","verb","Bring and hand over a letter, parcel, or goods to the proper recipient.","Giao hàng","The local courier promised to deliver the package by tomorrow noon.","Người đưa thư địa phương đã hứa sẽ giao gói hàng trước trưa mai.","shipping","500","hand over,bring,transport"
"Cargo","ˈkɑːɡəʊ","noun","Goods carried on a ship, aircraft, or motor vehicle.","Hàng hóa (vận tải)","The cargo ship was loaded with containers of electronic goods.","Tàu chở hàng đã được bốc xếp các công-te-nơ hàng điện tử.","shipping","500","freight,goods,shipment"
"Carrier","ˈkæriə(r)","noun","A person or company that undertakes the transport of goods or passengers.","Nhà vận chuyển, hãng vận tải","We need to select a reliable shipping carrier for our international exports.","Chúng tôi cần chọn một nhà vận chuyển đáng tin cậy cho các mặt hàng xuất khẩu quốc tế.","shipping","600","shipper,transporter,courier"
"Transport","ˈtrænspɔːt","verb","Take or carry people or goods from one place to another by vehicle.","Vận chuyển, chuyên chở","Trucks are used to transport materials from the factory to the warehouse.","Xe tải được sử dụng để vận chuyển vật liệu từ nhà máy đến nhà kho.","shipping","600","carry,convey,move"
"Customs","ˈkʌstəmz","noun","The official department that administers and collects duties on imported goods.","Hải quan, thuế hải quan","The shipment of foreign parts is currently held up at customs.","Lô hàng phụ tùng nước ngoài hiện đang bị giữ lại tại hải quan.","shipping","700","border control,import duty"
"Shipment","ˈʃɪpmənt","noun","A batch of goods destined for or delivered to a customer.","Sự vận chuyển, lô hàng","The warehouse manager confirmed that the shipment had arrived safely.","Quản lý kho đã xác nhận rằng lô hàng đã đến nơi an toàn.","shipping","700","delivery,cargo,consignment"
"Inventory","ˈɪnvəntri","noun","A complete list of items such as property, goods in stock.","Hàng tồn kho, bảng kiểm kê","We perform a full inventory check at the warehouse twice a year.","Chúng tôi thực hiện kiểm tra hàng tồn kho đầy đủ tại nhà kho hai lần một năm.","shipping","800","stock,supply,list"
"Dispatch","dɪˈspætʃ","verb","Send off to a destination or for a purpose.","Gửi đi, phái đi, điều phối hàng","The shipping center will dispatch your order early tomorrow morning.","Trung tâm vận chuyển sẽ gửi đơn hàng của bạn đi vào sáng sớm mai.","shipping","800","send,forward,ship"
"Consignment","kənˈsaɪnmənt","noun","A batch of goods sent by water, land, or air, typically to an agent for sale.","Lô hàng ký gửi","We received a large consignment of office chairs from the manufacturer.","Chúng tôi đã nhận được một lô hàng ký gửi lớn ghế văn phòng từ nhà sản xuất.","shipping","900","shipment,delivery,batch"
"Logistics","ləˈdʒɪstɪks","noun","The detailed organization and implementation of a complex operation, specifically transport.","Hậu cần, dịch vụ logistics","The logistics manager coordinated the delivery routes across ten countries.","Trưởng bộ phận hậu cần đã điều phối các tuyến đường giao hàng trên mười quốc gia.","shipping","900","management,coordination,organization"
"Room","ruːm","noun","A part of the inside of a building that is divided from other parts by walls.","Phòng khách sạn","She booked a double room with a sea view for three nights.","Cô ấy đã đặt một phòng đôi hướng biển trong ba đêm.","hotel","500","chamber,suite,space"
"Guest","ɡest","noun","A person who is invited to visit someone's home or stay at a hotel.","Khách, khách lưu trú","The hotel reception desk welcomes guests twenty-four hours a day.","Quầy tiếp tân của khách sạn chào đón khách lưu trú hai mươi tư giờ một ngày.","hotel","500","visitor,customer,patron"
"Lobby","ˈlɒbi","noun","A large entrance hall or reception area in a public building, especially in a hotel.","Sảnh chờ, hành lang","Let's meet in the hotel lobby near the reception desk at five.","Hãy gặp nhau ở sảnh chờ khách sạn gần quầy tiếp tân lúc năm giờ.","hotel","600","foyer,hall,reception"
"Service","ˈsɜːvɪs","noun","The action of helping or doing work for someone, or room maintenance.","Dịch vụ, sự phục vụ","This five-star hotel is famous for its exceptional room service.","Khách sạn năm sao này nổi tiếng với dịch vụ phục vụ phòng đặc biệt.","hotel","600","assistance,maintenance,care"
"Facility","fəˈsɪləti","noun","A place, amenity, or piece of equipment provided for a particular purpose.","Cơ sở vật chất, trang thiết bị","The hotel offers a wide range of facilities, including an indoor pool and a gym.","Khách sạn cung cấp nhiều loại cơ sở vật chất, bao gồm hồ bơi trong nhà và phòng tập thể dục.","hotel","700","amenity,installation,equipment"
"Check-in","ˈtʃek ɪn","noun","The act of registering at a hotel or airport upon arrival.","Thủ tục nhận phòng, check-in","The standard check-in time at this resort is two o'clock in the afternoon.","Thời gian nhận phòng tiêu chuẩn tại khu nghỉ dưỡng này là hai giờ chiều.","hotel","700","registration,arrival procedure"
"Amenity","əˈmiːnəti","noun","A desirable or useful feature or facility of a building or place.","Tiện nghi, dịch vụ đi kèm","Free Wi-Fi and breakfast are standard amenities at this hotel.","Wi-Fi miễn phí và bữa sáng là những tiện nghi tiêu chuẩn tại khách sạn này.","hotel","800","convenience,facility,benefit"
"Concierge","kɔːnˈsiːeəʒ","noun","A hotel staff member who assists guests with bookings, tours, and information.","Nhân viên hỗ trợ khách hàng, người phục vụ phòng","The concierge recommended a great local seafood restaurant down the street.","Nhân viên hỗ trợ khách hàng đã giới thiệu một nhà hàng hải sản địa phương tuyệt vời ở cuối phố.","hotel","800","doorkeeper,porter,guest assistant"
"Hospitality","ˌhɒspɪˈtæləti","noun","The friendly and generous reception and entertainment of guests, visitors, or strangers.","Lòng hiếu khách, ngành dịch vụ khách sạn","We were deeply impressed by the warm hospitality of the resort staff.","Chúng tôi đã bị ấn tượng sâu sắc bởi lòng hiếu khách nồng hậu của nhân viên khu nghỉ dưỡng.","hotel","900","friendliness,welcome,accommodation service"
"Occupancy","ˈɒkjupənsi","noun","The proportion of rooms or beds used in a hotel over a specific period.","Tỷ lệ lấp đầy phòng, tỷ lệ sử dụng","The hotel reached a ninety percent occupancy rate during the summer holidays.","Khách sạn đạt tỷ lệ lấp đầy phòng chín mươi phần trăm trong các kỳ nghỉ hè.","hotel","900","tenancy,possession,use rate"
"Send","send","verb","Cause to go or be taken to a particular destination, especially electronic messages.","Gửi","Please send me the weekly sales report via email as soon as possible.","Vui lòng gửi cho tôi báo cáo doanh số hàng tuần qua email càng sớm càng tốt.","email","500","transmit,dispatch,mail"
"Message","ˈmesɪdʒ","noun","A verbal, written, or recorded communication sent to or left for a recipient.","Tin nhắn, thông điệp","I left a message for the sales team regarding the client's request.","Tôi đã để lại một tin nhắn cho đội ngũ bán hàng liên quan đến yêu cầu của khách hàng.","email","500","note,memo,communication"
"Attachment","əˈtætʃmənt","noun","An extra part or document that is added or joined to something, specifically an email.","Tập tin đính kèm","Please find the marketing presentation in the email attachment.","Vui lòng tìm bản thuyết trình tiếp thị trong tệp đính kèm email.","email","600","added file,appendix,supplement"
"Address","əˈdres","noun","The particulars of the place where someone lives or an electronic mail location.","Địa chỉ (email/nhà)","Double-check the recipient's email address before hitting send.","Kiểm tra kỹ địa chỉ email của người nhận trước khi nhấn gửi.","email","600","location,mail ID,destination"
"Subject","ˈsʌbdʒɪkt","noun","A person or thing that is being discussed, described, or dealt with; the title line of an email.","Chủ đề, tiêu đề email","Make sure your email subject line is clear and descriptive.","Đảm bảo dòng tiêu đề email của bạn rõ ràng và mô tả đúng nội dung.","email","700","topic,heading,theme"
"Reply","rɪˈplaɪ","verb","Say or write something as an answer to a question or message.","Trả lời, phản hồi","The customer service officer will reply to your inquiry within twenty-four hours.","Nhân viên dịch vụ khách hàng sẽ trả lời câu hỏi của bạn trong vòng hai mươi tư giờ.","email","700","answer,respond,return"
"Forward","ˈfɔːwəd","verb","Send an email or letter on to a further destination.","Chuyển tiếp (email)","Could you please forward that feedback email directly to the developer team?","Bạn có thể vui lòng chuyển tiếp email phản hồi đó trực tiếp đến đội ngũ lập trình được không?","email","800","resend,pass on,redirect"
"Confirm","kənˈfɜːm","verb","Establish the truth or correctness of something, or verify an arrangement.","Xác nhận","The client sent an email to confirm the meeting details for tomorrow.","Khách hàng đã gửi email để xác nhận chi tiết cuộc họp cho ngày mai.","email","800","verify,validate,approve"
"Correspondence","ˌkɒrəˈspɒndəns","noun","Communication by exchanging letters or emails.","Thư từ giao dịch, sự tương lạc qua lại","We keep a digital record of all email correspondence with external contractors.","Chúng tôi giữ một hồ sơ kỹ thuật số về tất cả các thư từ giao dịch qua email với các nhà thầu bên ngoài.","email","900","communication,letters,exchanges"
"Recipient","rɪˈsɪpiənt","noun","A person who receives or is awarded something, specifically an email.","Người nhận","The email bounce message indicates that the recipient does not exist.","Tin nhắn email bị trả lại chỉ ra rằng người nhận không tồn tại.","email","900","receiver,addressee,acceptor"
