id,question,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation,part,type,topic,difficulty,context,transcript
"local-p5-026","The updated schedule _____ to the research division yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-027","The updated schedule _____ to the human resources office yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-028","The updated schedule _____ to the shipping department yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-029","The updated schedule _____ to the technology team yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-030","The updated schedule _____ to the training unit yesterday.","sent","was sent","is sending","has send","B","The schedule received the action in the past, so the simple past passive is required. | Lịch trình nhận hành động trong quá khứ nên dùng bị động quá khứ đơn “was sent”.","5","mcq","passive-voice","600","",""
"local-p5-031","If Northstar's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-032","If BluePeak's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-033","If Greenfield's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-034","If Summit's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-035","If Riverside's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-036","If BrightPath's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-037","If Harborview's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-038","If Silverline's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-039","If Oakridge's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-040","If MetroWorks's supplier _____ the order today, it will arrive by Friday.","ships","shipped","will ship","shipping","A","The if-clause of a first conditional uses the simple present. | Mệnh đề if của câu điều kiện loại 1 dùng hiện tại đơn “ships”.","5","mcq","verb-tenses","600","",""
"local-p5-041","Applications for the Boston office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-042","Applications for the Seattle office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-043","Applications for the Denver office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-044","Applications for the Austin office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-045","Applications for the Chicago office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-046","Applications for the Portland office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-047","Applications for the Atlanta office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-048","Applications for the Phoenix office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-049","Applications for the Miami office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-050","Applications for the Dallas office must be received _____ Friday.","by","until","during","since","A","“By” marks a deadline at or before a stated time. | “By” chỉ hạn chót vào hoặc trước một thời điểm.","5","mcq","prepositions","500","",""
"local-p5-051","The meeting was postponed _____ Ms. Carter was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-052","The meeting was postponed _____ Mr. Lee was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-053","The meeting was postponed _____ Ms. Nguyen was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-054","The meeting was postponed _____ Mr. Wilson was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-055","The meeting was postponed _____ Ms. Patel was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-056","The meeting was postponed _____ Mr. Brown was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-057","The meeting was postponed _____ Ms. Garcia was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-058","The meeting was postponed _____ Mr. Kim was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-059","The meeting was postponed _____ Ms. Taylor was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-060","The meeting was postponed _____ Mr. Martin was unavailable.","because","despite","unless","whereas","A","“Because” introduces the clause that gives the reason for the postponement. | “Because” mở đầu mệnh đề nêu lý do cuộc họp bị hoãn.","5","mcq","conjunctions","600","",""
"local-p5-061","Northstar's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-062","BluePeak's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-063","Greenfield's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-064","Summit's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-065","Riverside's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-066","BrightPath's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-067","Harborview's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-068","Silverline's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-069","Oakridge's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-070","MetroWorks's sales are _____ this quarter than they were last quarter.","high","higher","highest","highly","B","“Than” signals the comparative adjective “higher”. | “Than” là dấu hiệu của dạng so sánh hơn “higher”.","5","mcq","comparisons","600","",""
"local-p5-071","The consultant working with Ms. Carter _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-072","The consultant working with Mr. Lee _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-073","The consultant working with Ms. Nguyen _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-074","The consultant working with Mr. Wilson _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-075","The consultant working with Ms. Patel _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-076","The consultant working with Mr. Brown _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-077","The consultant working with Ms. Garcia _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-078","The consultant working with Mr. Kim _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-079","The consultant working with Ms. Taylor _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-080","The consultant working with Mr. Martin _____ prepared the report will present it to the board.","who","which","whose","whom","A","“Who” is the subject relative pronoun referring to a person. | “Who” là đại từ quan hệ làm chủ ngữ, thay cho người.","5","mcq","pronouns","600","",""
"local-p5-081","Customer _____ remains a top priority for Northstar.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-082","Customer _____ remains a top priority for BluePeak.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-083","Customer _____ remains a top priority for Greenfield.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-084","Customer _____ remains a top priority for Summit.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-085","Customer _____ remains a top priority for Riverside.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-086","Customer _____ remains a top priority for BrightPath.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-087","Customer _____ remains a top priority for Harborview.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-088","Customer _____ remains a top priority for Silverline.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-089","Customer _____ remains a top priority for Oakridge.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-090","Customer _____ remains a top priority for MetroWorks.","satisfy","satisfied","satisfaction","satisfactorily","C","A noun is required as the subject of the sentence. | Vị trí chủ ngữ cần danh từ “satisfaction”.","5","mcq","nouns","500","",""
"local-p5-091","Management decided _____ the training program in Boston.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-092","Management decided _____ the training program in Seattle.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-093","Management decided _____ the training program in Denver.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-094","Management decided _____ the training program in Austin.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-095","Management decided _____ the training program in Chicago.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-096","Management decided _____ the training program in Portland.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-097","Management decided _____ the training program in Atlanta.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-098","Management decided _____ the training program in Phoenix.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-099","Management decided _____ the training program in Miami.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-100","Management decided _____ the training program in Dallas.","expand","to expand","expanding","expanded","B","“Decide” is followed by a to-infinitive. | Sau “decide” dùng động từ nguyên mẫu có “to”.","5","mcq","infinitives-gerunds","600","",""
"local-p5-101","Northstar _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-102","BluePeak _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-103","Greenfield _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-104","Summit _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-105","Riverside _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-106","BrightPath _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-107","Harborview _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-108","Silverline _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-109","Oakridge _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-110","MetroWorks _____ three new branches since January.","opens","opened","has opened","will open","C","“Since January” calls for the present perfect. | “Since January” là dấu hiệu dùng hiện tại hoàn thành “has opened”.","5","mcq","verb-tenses","600","",""
"local-p5-111","Ms. Carter is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-112","Mr. Lee is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-113","Ms. Nguyen is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-114","Mr. Wilson is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-115","Ms. Patel is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-116","Mr. Brown is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-117","Ms. Garcia is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-118","Mr. Kim is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-119","Ms. Taylor is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-120","Mr. Martin is responsible for _____ the project schedule.","prepare","prepared","preparing","preparation","C","A gerund follows the preposition “for”. | Sau giới từ “for” dùng danh động từ “preparing”.","5","mcq","infinitives-gerunds","700","",""
"local-p5-121","Northstar hired _____ experienced auditor for its Boston office.","a","an","the","no article","B","“Experienced” begins with a vowel sound, so “an” is required. | “Experienced” bắt đầu bằng nguyên âm nên dùng “an”.","5","mcq","articles","500","",""
