id,question,choiceA,choiceB,choiceC,choiceD,correctAnswer,explanation,cefrLevel,skill,mode,type,topic,difficulty,context,transcript
"local-listening-011","Where does the conversation take place?","At a hotel","At a bank","At a factory","At a restaurant","A","The woman welcomes the guest to a hotel. | Người phụ nữ chào khách tại khách sạn.","B1","listening","conversations","listening","travel","650","","Woman: Welcome to the Boston Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Carter, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-012","What is the man concerned about?","The room price","A late arrival","A missing passport","The breakfast menu","B","His flight arrives late, so he will reach the hotel after ten. | Chuyến bay đến muộn nên anh ấy tới khách sạn sau 10 giờ.","B2","listening","conversations","listening","travel","700","","Woman: Welcome to the Boston Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Carter, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-013","What will the woman add to the reservation?","A second room","A late-arrival note","A free dinner","An earlier checkout","B","She says she will note his late arrival. | Cô ấy sẽ ghi chú việc khách đến muộn.","B1","listening","conversations","listening","travel","650","","Woman: Welcome to the Boston Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Carter, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-014","What additional service does the woman offer?","Laundry service","A city tour","An airport shuttle","Room service","C","She offers to reserve the airport shuttle. | Cô ấy đề nghị đặt xe đưa đón sân bay.","B2","listening","conversations","listening","travel","700","","Woman: Welcome to the Boston Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Carter, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-015","When does the flight land?","At 8:30","At 9:00","At 9:30","At 10:30","C","The man says the flight lands at nine thirty. | Chuyến bay hạ cánh lúc 9 giờ 30.","B1","listening","conversations","listening","travel","650","","Woman: Welcome to the Boston Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Carter, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-016","What problem do the speakers discuss?","A broken printer","A missing invoice","A slow elevator","A lost key","A","The printer on the third floor is not working. | Máy in ở tầng ba bị hỏng.","C1","listening","conversations","listening","technology","800","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Ms. Carter said the replacement part will not arrive until June 4.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the Northstar staff know."
"local-listening-017","Who has been contacted?","The finance department","The technology team","A customer","The building owner","B","The man submitted a request to the technology team. | Người đàn ông đã gửi yêu cầu cho nhóm công nghệ.","C2","listening","conversations","listening","technology","900","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Ms. Carter said the replacement part will not arrive until June 4.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the Northstar staff know."
"local-listening-018","Why will the repair be delayed?","The office is closed","A part has not arrived","No request was submitted","The printer is in use","B","The needed replacement part will arrive later. | Linh kiện thay thế chưa tới.","B2","listening","conversations","listening","technology","700","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Ms. Carter said the replacement part will not arrive until June 4.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the Northstar staff know."
"local-listening-019","Which printer should employees use?","The one on the third floor","The one beside reception","The one in the warehouse","The one at home","B","The woman recommends the printer beside reception. | Người phụ nữ đề nghị dùng máy in cạnh quầy lễ tân.","C1","listening","conversations","listening","technology","800","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Ms. Carter said the replacement part will not arrive until June 4.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the Northstar staff know."
"local-listening-020","What will the woman probably do next?","Order paper","Inform the staff","Repair the printer herself","Call a customer","B","She says she will tell the rest of the staff. | Cô ấy sẽ thông báo cho các nhân viên khác.","C2","listening","conversations","listening","technology","900","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Ms. Carter said the replacement part will not arrive until June 4.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the Northstar staff know."
"local-listening-021","What are the speakers discussing?","A presentation workshop","A customer survey","A job interview","A product launch","A","They are discussing registration for a presentation workshop. | Hai người đang nói về hội thảo kỹ năng thuyết trình.","B2","listening","conversations","listening","training","700","","Woman: Have you registered for the presentation workshop on June 4?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the Northstar training center in Boston.
Man: Great. I will sign up during my lunch break."
"local-listening-022","Which session interests the man?","The morning session","The afternoon session","The weekend session","The online session","B","He asks whether the afternoon session still has space. | Anh ấy quan tâm đến buổi chiều.","C1","listening","conversations","listening","training","800","","Woman: Have you registered for the presentation workshop on June 4?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the Northstar training center in Boston.
Man: Great. I will sign up during my lunch break."
"local-listening-023","When does registration close?","Today","Tomorrow","On June 4","Next month","A","The woman says registration closes today. | Người phụ nữ nói đăng ký đóng hôm nay.","C2","listening","conversations","listening","training","900","","Woman: Have you registered for the presentation workshop on June 4?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the Northstar training center in Boston.
Man: Great. I will sign up during my lunch break."
"local-listening-024","Where will the workshop be held?","At the Northstar training center","At a hotel","At the man’s office","At a university","A","The woman names the company training center. | Địa điểm là trung tâm đào tạo của công ty.","B2","listening","conversations","listening","training","700","","Woman: Have you registered for the presentation workshop on June 4?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the Northstar training center in Boston.
Man: Great. I will sign up during my lunch break."
"local-listening-025","When will the man probably register?","Before breakfast","During lunch","After the workshop","Next week","B","He plans to sign up during his lunch break. | Anh ấy sẽ đăng ký trong giờ nghỉ trưa.","C1","listening","conversations","listening","training","800","","Woman: Have you registered for the presentation workshop on June 4?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the Northstar training center in Boston.
Man: Great. I will sign up during my lunch break."
"local-listening-026","What are the speakers planning to discuss?","A client complaint","A quarterly budget","A training course","A delivery route","B","They are arranging a discussion about the quarterly budget. | Hai người đang sắp xếp cuộc họp về ngân sách quý.","B1","listening","conversations","listening","meetings","650","","Woman: Are you ready to discuss the quarterly budget on June 11?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-027","Why does the man want to change the meeting time?","He has a client call","He will be out of town","The room is being repaired","The report is incomplete","A","The man says he has a client call that morning. | Người đàn ông có cuộc gọi với khách hàng vào buổi sáng.","A1","listening","conversations","listening","meetings","500","","Woman: Are you ready to discuss the quarterly budget on June 11?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-028","When will the speakers most likely meet?","At 9 A.M.","At noon","At 2 P.M.","At 5 P.M.","C","The man suggests two in the afternoon and the woman agrees. | Hai người đồng ý gặp lúc 2 giờ chiều.","A2","listening","conversations","listening","meetings","600","","Woman: Are you ready to discuss the quarterly budget on June 11?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-029","Where will the meeting take place?","Conference Room B","A client office","The cafeteria","A hotel lobby","A","The woman says Conference Room B is available. | Người phụ nữ cho biết Phòng họp B còn trống.","B1","listening","conversations","listening","meetings","650","","Woman: Are you ready to discuss the quarterly budget on June 11?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-030","What will the woman probably do next?","Call a supplier","Update the calendar invitation","Prepare lunch","Cancel the budget review","B","She says she will update the invitation immediately. | Cô ấy sẽ cập nhật lời mời trên lịch.","A1","listening","conversations","listening","meetings","500","","Woman: Are you ready to discuss the quarterly budget on June 11?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-031","Why is the man calling?","To place a new order","To ask about a late delivery","To change a product color","To apply for a job","B","He is calling because his order did not arrive as expected. | Anh ấy gọi vì đơn hàng đến trễ.","B1","listening","conversations","listening","shipping","650","","Man: Hello, I am calling about an order from BluePeak. It was supposed to arrive in Seattle yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 11.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-032","What caused the delay?","Bad weather","A payment issue","A wrong address","Low inventory","A","The carrier reported a weather delay. | Đơn vị vận chuyển báo chậm do thời tiết.","B2","listening","conversations","listening","shipping","700","","Man: Hello, I am calling about an order from BluePeak. It was supposed to arrive in Seattle yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 11.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-033","What does the woman say about the package?","It will arrive on June 11","It was returned","It is at the store","It has not been shipped","A","The new delivery date is June 11. | Ngày giao hàng mới là June 11.","B1","listening","conversations","listening","shipping","650","","Man: Hello, I am calling about an order from BluePeak. It was supposed to arrive in Seattle yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 11.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-034","What service did the man purchase?","Gift wrapping","Express delivery","Installation","Insurance","B","The man states that he paid for express delivery. | Người đàn ông đã trả phí giao hàng nhanh.","B2","listening","conversations","listening","shipping","700","","Man: Hello, I am calling about an order from BluePeak. It was supposed to arrive in Seattle yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 11.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-035","What will the woman do?","Send a replacement","Refund the delivery charge","Call the weather office","Cancel the order","B","She offers to refund the express-delivery charge. | Cô ấy sẽ hoàn lại phí giao hàng nhanh.","B1","listening","conversations","listening","shipping","650","","Man: Hello, I am calling about an order from BluePeak. It was supposed to arrive in Seattle yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 11.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-036","Where does the conversation take place?","At a hotel","At a bank","At a factory","At a restaurant","A","The woman welcomes the guest to a hotel. | Người phụ nữ chào khách tại khách sạn.","B2","listening","conversations","listening","travel","700","","Woman: Welcome to the Seattle Grand Hotel. How may I help you?
Man: I have a reservation under Mr. Lee, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-037","What is the man concerned about?","The room price","A late arrival","A missing passport","The breakfast menu","B","His flight arrives late, so he will reach the hotel after ten. | Chuyến bay đến muộn nên anh ấy tới khách sạn sau 10 giờ.","B1","listening","conversations","listening","travel","650","","Woman: Welcome to the Seattle Grand Hotel. How may I help you?
Man: I have a reservation under Mr. Lee, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-038","What will the woman add to the reservation?","A second room","A late-arrival note","A free dinner","An earlier checkout","B","She says she will note his late arrival. | Cô ấy sẽ ghi chú việc khách đến muộn.","B2","listening","conversations","listening","travel","700","","Woman: Welcome to the Seattle Grand Hotel. How may I help you?
Man: I have a reservation under Mr. Lee, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-039","What additional service does the woman offer?","Laundry service","A city tour","An airport shuttle","Room service","C","She offers to reserve the airport shuttle. | Cô ấy đề nghị đặt xe đưa đón sân bay.","B1","listening","conversations","listening","travel","650","","Woman: Welcome to the Seattle Grand Hotel. How may I help you?
Man: I have a reservation under Mr. Lee, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-040","When does the flight land?","At 8:30","At 9:00","At 9:30","At 10:30","C","The man says the flight lands at nine thirty. | Chuyến bay hạ cánh lúc 9 giờ 30.","B2","listening","conversations","listening","travel","700","","Woman: Welcome to the Seattle Grand Hotel. How may I help you?
Man: I have a reservation under Mr. Lee, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-041","What problem do the speakers discuss?","A broken printer","A missing invoice","A slow elevator","A lost key","A","The printer on the third floor is not working. | Máy in ở tầng ba bị hỏng.","C2","listening","conversations","listening","technology","900","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Mr. Lee said the replacement part will not arrive until June 11.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the BluePeak staff know."
"local-listening-042","Who has been contacted?","The finance department","The technology team","A customer","The building owner","B","The man submitted a request to the technology team. | Người đàn ông đã gửi yêu cầu cho nhóm công nghệ.","B2","listening","conversations","listening","technology","700","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Mr. Lee said the replacement part will not arrive until June 11.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the BluePeak staff know."
"local-listening-043","Why will the repair be delayed?","The office is closed","A part has not arrived","No request was submitted","The printer is in use","B","The needed replacement part will arrive later. | Linh kiện thay thế chưa tới.","C1","listening","conversations","listening","technology","800","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Mr. Lee said the replacement part will not arrive until June 11.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the BluePeak staff know."
"local-listening-044","Which printer should employees use?","The one on the third floor","The one beside reception","The one in the warehouse","The one at home","B","The woman recommends the printer beside reception. | Người phụ nữ đề nghị dùng máy in cạnh quầy lễ tân.","C2","listening","conversations","listening","technology","900","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Mr. Lee said the replacement part will not arrive until June 11.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the BluePeak staff know."
"local-listening-045","What will the woman probably do next?","Order paper","Inform the staff","Repair the printer herself","Call a customer","B","She says she will tell the rest of the staff. | Cô ấy sẽ thông báo cho các nhân viên khác.","B2","listening","conversations","listening","technology","700","","Man: The printer on the third floor has stopped working again.
Woman: Did you submit a request to the technology team?
Man: Yes, but Mr. Lee said the replacement part will not arrive until June 11.
Woman: In that case, use the printer beside the reception desk. I will let the rest of the BluePeak staff know."
"local-listening-046","What are the speakers discussing?","A presentation workshop","A customer survey","A job interview","A product launch","A","They are discussing registration for a presentation workshop. | Hai người đang nói về hội thảo kỹ năng thuyết trình.","C1","listening","conversations","listening","training","800","","Woman: Have you registered for the presentation workshop on June 11?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the BluePeak training center in Seattle.
Man: Great. I will sign up during my lunch break."
"local-listening-047","Which session interests the man?","The morning session","The afternoon session","The weekend session","The online session","B","He asks whether the afternoon session still has space. | Anh ấy quan tâm đến buổi chiều.","C2","listening","conversations","listening","training","900","","Woman: Have you registered for the presentation workshop on June 11?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the BluePeak training center in Seattle.
Man: Great. I will sign up during my lunch break."
"local-listening-048","When does registration close?","Today","Tomorrow","On June 11","Next month","A","The woman says registration closes today. | Người phụ nữ nói đăng ký đóng hôm nay.","B2","listening","conversations","listening","training","700","","Woman: Have you registered for the presentation workshop on June 11?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the BluePeak training center in Seattle.
Man: Great. I will sign up during my lunch break."
"local-listening-049","Where will the workshop be held?","At the BluePeak training center","At a hotel","At the man’s office","At a university","A","The woman names the company training center. | Địa điểm là trung tâm đào tạo của công ty.","C1","listening","conversations","listening","training","800","","Woman: Have you registered for the presentation workshop on June 11?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the BluePeak training center in Seattle.
Man: Great. I will sign up during my lunch break."
"local-listening-050","When will the man probably register?","Before breakfast","During lunch","After the workshop","Next week","B","He plans to sign up during his lunch break. | Anh ấy sẽ đăng ký trong giờ nghỉ trưa.","C2","listening","conversations","listening","training","900","","Woman: Have you registered for the presentation workshop on June 11?
Man: Not yet. Is there still space in the afternoon session?
Woman: Yes, but registration closes today. The workshop will be held at the BluePeak training center in Seattle.
Man: Great. I will sign up during my lunch break."
"local-listening-051","What are the speakers planning to discuss?","A client complaint","A quarterly budget","A training course","A delivery route","B","They are arranging a discussion about the quarterly budget. | Hai người đang sắp xếp cuộc họp về ngân sách quý.","A1","listening","conversations","listening","meetings","500","","Woman: Are you ready to discuss the quarterly budget on June 18?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-052","Why does the man want to change the meeting time?","He has a client call","He will be out of town","The room is being repaired","The report is incomplete","A","The man says he has a client call that morning. | Người đàn ông có cuộc gọi với khách hàng vào buổi sáng.","A2","listening","conversations","listening","meetings","600","","Woman: Are you ready to discuss the quarterly budget on June 18?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-053","When will the speakers most likely meet?","At 9 A.M.","At noon","At 2 P.M.","At 5 P.M.","C","The man suggests two in the afternoon and the woman agrees. | Hai người đồng ý gặp lúc 2 giờ chiều.","B1","listening","conversations","listening","meetings","650","","Woman: Are you ready to discuss the quarterly budget on June 18?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-054","Where will the meeting take place?","Conference Room B","A client office","The cafeteria","A hotel lobby","A","The woman says Conference Room B is available. | Người phụ nữ cho biết Phòng họp B còn trống.","A1","listening","conversations","listening","meetings","500","","Woman: Are you ready to discuss the quarterly budget on June 18?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-055","What will the woman probably do next?","Call a supplier","Update the calendar invitation","Prepare lunch","Cancel the budget review","B","She says she will update the invitation immediately. | Cô ấy sẽ cập nhật lời mời trên lịch.","A2","listening","conversations","listening","meetings","600","","Woman: Are you ready to discuss the quarterly budget on June 18?
Man: I have a client call that morning. Could we meet at two in the afternoon instead?
Woman: Yes. Conference Room B is available then. I will update the calendar invitation now."
"local-listening-056","Why is the man calling?","To place a new order","To ask about a late delivery","To change a product color","To apply for a job","B","He is calling because his order did not arrive as expected. | Anh ấy gọi vì đơn hàng đến trễ.","B2","listening","conversations","listening","shipping","700","","Man: Hello, I am calling about an order from Greenfield. It was supposed to arrive in Denver yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 18.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-057","What caused the delay?","Bad weather","A payment issue","A wrong address","Low inventory","A","The carrier reported a weather delay. | Đơn vị vận chuyển báo chậm do thời tiết.","B1","listening","conversations","listening","shipping","650","","Man: Hello, I am calling about an order from Greenfield. It was supposed to arrive in Denver yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 18.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-058","What does the woman say about the package?","It will arrive on June 18","It was returned","It is at the store","It has not been shipped","A","The new delivery date is June 18. | Ngày giao hàng mới là June 18.","B2","listening","conversations","listening","shipping","700","","Man: Hello, I am calling about an order from Greenfield. It was supposed to arrive in Denver yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 18.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-059","What service did the man purchase?","Gift wrapping","Express delivery","Installation","Insurance","B","The man states that he paid for express delivery. | Người đàn ông đã trả phí giao hàng nhanh.","B1","listening","conversations","listening","shipping","650","","Man: Hello, I am calling about an order from Greenfield. It was supposed to arrive in Denver yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 18.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-060","What will the woman do?","Send a replacement","Refund the delivery charge","Call the weather office","Cancel the order","B","She offers to refund the express-delivery charge. | Cô ấy sẽ hoàn lại phí giao hàng nhanh.","B2","listening","conversations","listening","shipping","700","","Man: Hello, I am calling about an order from Greenfield. It was supposed to arrive in Denver yesterday.
Woman: Let me check. The carrier reported a weather delay, but the package is now scheduled for June 18.
Man: I paid for express delivery.
Woman: I understand. I will refund that charge to your card."
"local-listening-061","Where does the conversation take place?","At a hotel","At a bank","At a factory","At a restaurant","A","The woman welcomes the guest to a hotel. | Người phụ nữ chào khách tại khách sạn.","B1","listening","conversations","listening","travel","650","","Woman: Welcome to the Denver Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Nguyen, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-062","What is the man concerned about?","The room price","A late arrival","A missing passport","The breakfast menu","B","His flight arrives late, so he will reach the hotel after ten. | Chuyến bay đến muộn nên anh ấy tới khách sạn sau 10 giờ.","B2","listening","conversations","listening","travel","700","","Woman: Welcome to the Denver Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Nguyen, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-063","What will the woman add to the reservation?","A second room","A late-arrival note","A free dinner","An earlier checkout","B","She says she will note his late arrival. | Cô ấy sẽ ghi chú việc khách đến muộn.","B1","listening","conversations","listening","travel","650","","Woman: Welcome to the Denver Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Nguyen, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-064","What additional service does the woman offer?","Laundry service","A city tour","An airport shuttle","Room service","C","She offers to reserve the airport shuttle. | Cô ấy đề nghị đặt xe đưa đón sân bay.","B2","listening","conversations","listening","travel","700","","Woman: Welcome to the Denver Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Nguyen, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
"local-listening-065","When does the flight land?","At 8:30","At 9:00","At 9:30","At 10:30","C","The man says the flight lands at nine thirty. | Chuyến bay hạ cánh lúc 9 giờ 30.","B1","listening","conversations","listening","travel","650","","Woman: Welcome to the Denver Grand Hotel. How may I help you?
Man: I have a reservation under Ms. Nguyen, but my flight arrives after ten tonight.
Woman: That is fine. I will note your late arrival. Would you also like me to reserve the airport shuttle?
Man: Yes, please. My flight lands at nine thirty."
